unit_id,connection_type,technology,tier,rsp,state_or_territory,geography,is_this_service_impaired,is_this_service_underperforming,gateway_mac,All hour trimmed mean download speed,All hour minimum download speed,All hour maximum download speed,Busy hour trimmed mean download speed,Busy hour minimum download speed,Busy hour maximum download speed,All hour trimmed mean upload speed,All hour minimum upload speed,All hour maximum upload speed,Busy hour trimmed mean upload speed,Busy hour minimum upload speed,Busy hour maximum upload speed,All hour trimmed mean latency,All hour minimum latency,All hour maximum latency,Busy hour trimmed mean latency,Busy hour minimum latency,Busy hour maximum latency,Average daily outages
45564745,NBN,Hybrid Fibre Coaxial,100/20 Mbps,Aussie Broadband,WA,Urban,FALSE,FALSE,18:exxxxxx,107.94,93.85,110.19,107.37,93.85,109.56,18.89,18.17,19.01,18.89,18.56,19.01,8.38,8.05,13.14,8.43,8.12,11.5,0.03
21854281,NBN,Fibre to the Node,50/20 Mbps,Telstra,WA,Urban,FALSE,FALSE,40:9xxxxxx,37.68,24.84,39.18,37.07,29.29,39.14,6.39,5.44,8.39,6.31,5.54,8.35,27.71,24.01,39.98,27.63,24.11,37.29,0.03
93458509,NBN very high speed services,Fibre to the Premises,500-990/50 Mbps,Other RSPs,WA,Urban,FALSE,FALSE,34:6xxxxxx,919.55,293.13,927.31,909.62,386.54,927.05,46.47,45.09,46.65,46.52,45.4,46.65,3.16,3.12,3.73,3.17,3.13,3.47,0.06
21854285,NBN,Hybrid Fibre Coaxial,100/40 Mbps,Exetel,WA,Urban,FALSE,FALSE,28:dxxxxxx,108.55,99.64,109.68,108.48,99.94,109.55,37.63,36.39,37.78,37.66,36.96,37.78,8.74,8.02,9.19,8.81,8.58,9.1,0
110762831,NBN,Hybrid Fibre Coaxial,100/40 Mbps,Exetel,WA,Urban,FALSE,FALSE,a0:3xxxxxx,94.66,71.56,108.79,94.85,90.2,108.77,37.58,34.63,37.78,37.56,36.96,37.77,9.66,9.32,11.18,9.7,9.43,10.06,0
45564753,NBN very high speed services,Fibre to the Premises,500-990/50 Mbps,Aussie Broadband,WA,Urban,FALSE,FALSE,c4:exxxxxx,857.25,380.71,936.93,827,380.71,936.76,46.45,40.57,47.48,46.35,42.22,47.48,3.8,1.87,18.64,5.44,1.91,16.3,0.1
108598869,NBN very high speed services,Fibre to the Premises,500-990/50 Mbps,Superloop,WA,Urban,FALSE,FALSE,e4:fxxxxxx,927.09,260.37,936.92,914.73,731.9,936.64,47.37,45.24,47.47,47.15,45.24,47.47,2.48,2.38,6.47,2.53,2.44,3.21,0
2565211,NBN,Fibre to the Premises,50/20 Mbps,Superloop,WA,Urban,FALSE,FALSE,d4:3xxxxxx,54.36,42.67,55.27,54.26,42.67,54.46,18.96,15.58,19.01,18.97,18.87,19,2.12,1.96,3.47,2.13,1.97,2.24,0
81801569,NBN,Hybrid Fibre Coaxial,100/20 Mbps,Telstra,WA,Urban,FALSE,FALSE,d8:dxxxxxx,101.79,87.42,109.24,101.37,89.84,109.22,18.89,4.65,19.27,18.91,17.56,19.16,10.24,10.01,11.78,10.37,10.01,11.78,0
23084129,NBN very high speed services,Fibre to the Premises,500-990/50 Mbps,Superloop,WA,Urban,FALSE,FALSE,3c:8xxxxxx,930.55,804.98,936.69,929.59,882.05,936.38,47.41,38.51,47.5,47.41,47.27,47.5,2.43,2.13,4.1,2.55,2.18,3.02,0.03
